Entity,Code,Date,Total confirmed deaths (deaths),Total confirmed cases (cases)
Africa,,31-Dec-19,0,0
Africa,,1-Jan-20,0,0
Africa,,2-Jan-20,0,0
Africa,,3-Jan-20,0,0
Africa,,4-Jan-20,0,0
Africa,,5-Jan-20,0,0
Africa,,6-Jan-20,0,0
Africa,,7-Jan-20,0,0
Africa,,8-Jan-20,0,0
Africa,,9-Jan-20,0,0
Africa,,10-Jan-20,0,0
Africa,,11-Jan-20,0,0
Africa,,12-Jan-20,0,0
Africa,,13-Jan-20,0,0
Africa,,14-Jan-20,0,0
Africa,,15-Jan-20,0,0
Africa,,16-Jan-20,0,0
Africa,,17-Jan-20,0,0
Africa,,18-Jan-20,0,0
Africa,,19-Jan-20,0,0
Africa,,20-Jan-20,0,0
Africa,,21-Jan-20,0,0
Africa,,22-Jan-20,0,0
Africa,,23-Jan-20,0,0
Africa,,24-Jan-20,0,0
Africa,,25-Jan-20,0,0
Africa,,26-Jan-20,0,0
Africa,,27-Jan-20,0,0
Africa,,28-Jan-20,0,0
Africa,,29-Jan-20,0,0
Africa,,30-Jan-20,0,0
Africa,,31-Jan-20,0,0
Africa,,1-Feb-20,0,0
Africa,,2-Feb-20,0,0
Africa,,3-Feb-20,0,0
Africa,,4-Feb-20,0,0
Africa,,5-Feb-20,0,0
Africa,,6-Feb-20,0,0
Africa,,7-Feb-20,0,0
Africa,,8-Feb-20,0,0
Africa,,9-Feb-20,0,0
Africa,,10-Feb-20,0,0
Africa,,11-Feb-20,0,0
Africa,,12-Feb-20,0,0
Africa,,13-Feb-20,0,0
Africa,,14-Feb-20,0,0
Africa,,15-Feb-20,0,1
Africa,,16-Feb-20,0,1
Africa,,17-Feb-20,0,1
Africa,,18-Feb-20,0,1
Africa,,19-Feb-20,0,1
Africa,,20-Feb-20,0,1
Africa,,21-Feb-20,0,1
Africa,,22-Feb-20,0,1
Africa,,23-Feb-20,0,1
Africa,,24-Feb-20,0,1
Africa,,25-Feb-20,0,1
Africa,,26-Feb-20,0,2
Africa,,27-Feb-20,0,2
Africa,,28-Feb-20,0,3
Africa,,29-Feb-20,0,3
Africa,,1-Mar-20,0,3
Africa,,2-Mar-20,0,6
Africa,,3-Mar-20,0,9
Africa,,4-Mar-20,0,11
Africa,,5-Mar-20,0,20
Africa,,6-Mar-20,0,29
Africa,,7-Mar-20,0,43
Africa,,8-Mar-20,0,44
Africa,,9-Mar-20,1,83
Africa,,10-Mar-20,1,95
Africa,,11-Mar-20,1,105
Africa,,12-Mar-20,2,118
Africa,,13-Mar-20,4,158
Africa,,14-Mar-20,5,202
Africa,,15-Mar-20,6,239
Africa,,16-Mar-20,8,324
Africa,,17-Mar-20,8,404
Africa,,18-Mar-20,12,494
Africa,,19-Mar-20,16,634
Africa,,20-Mar-20,17,736
Africa,,21-Mar-20,24,967
Africa,,22-Mar-20,30,1131
Africa,,23-Mar-20,42,1290
Africa,,24-Mar-20,52,1697
Africa,,25-Mar-20,62,2170
Africa,,26-Mar-20,68,2652
Africa,,27-Mar-20,80,3216
Africa,,28-Mar-20,98,3700
Africa,,29-Mar-20,121,4079
Africa,,30-Mar-20,141,4572
Africa,,31-Mar-20,162,5064
Africa,,1-Apr-20,180,5494
Africa,,2-Apr-20,224,6248
Africa,,3-Apr-20,251,6744
Africa,,4-Apr-20,283,7323
Africa,,5-Apr-20,379,8489
Africa,,6-Apr-20,434,9175
Africa,,7-Apr-20,477,9802
Africa,,8-Apr-20,523,10524
Africa,,9-Apr-20,573,11446
Africa,,10-Apr-20,630,12280
Africa,,11-Apr-20,691,12952
Asia,,31-Dec-19,0,27
Asia,,1-Jan-20,0,27
Asia,,2-Jan-20,0,27
Asia,,3-Jan-20,0,44
Asia,,4-Jan-20,0,44
Asia,,5-Jan-20,0,59
Asia,,6-Jan-20,0,59
Asia,,7-Jan-20,0,59
Asia,,8-Jan-20,0,59
Asia,,9-Jan-20,0,59
Asia,,10-Jan-20,0,59
Asia,,11-Jan-20,1,59
Asia,,12-Jan-20,1,59
Asia,,13-Jan-20,1,60
Asia,,14-Jan-20,1,60
Asia,,15-Jan-20,2,61
Asia,,16-Jan-20,2,61
Asia,,17-Jan-20,2,66
Asia,,18-Jan-20,2,83
Asia,,19-Jan-20,3,219
Asia,,20-Jan-20,3,239
Asia,,21-Jan-20,6,391
Asia,,22-Jan-20,17,533
Asia,,23-Jan-20,17,630
Asia,,24-Jan-20,26,896
Asia,,25-Jan-20,41,1344
Asia,,26-Jan-20,56,2013
Asia,,27-Jan-20,81,2807
Asia,,28-Jan-20,106,4572
Asia,,29-Jan-20,132,6047
Asia,,30-Jan-20,170,7799
Asia,,31-Jan-20,213,9793
Asia,,1-Feb-20,259,11903
Asia,,2-Feb-20,305,14507
Asia,,3-Feb-20,362,17321
Asia,,4-Feb-20,427,20561
Asia,,5-Feb-20,493,24456
Asia,,6-Feb-20,565,28195
Asia,,7-Feb-20,638,31367
Asia,,8-Feb-20,724,34800
Asia,,9-Feb-20,813,37418
Asia,,10-Feb-20,910,40399
Asia,,11-Feb-20,1018,42894
Asia,,12-Feb-20,1115,44925
Asia,,13-Feb-20,1370,60074
Asia,,14-Feb-20,1383,64240
Asia,,15-Feb-20,1526,66798
Asia,,16-Feb-20,1668,68826
Asia,,17-Feb-20,1774,70892
Asia,,18-Feb-20,1872,72788
Asia,,19-Feb-20,2011,74564
Asia,,20-Feb-20,2125,75017
Asia,,21-Feb-20,2244,75996
Asia,,22-Feb-20,2356,77044
Asia,,23-Feb-20,2458,77989
Asia,,24-Feb-20,2613,78402
Asia,,25-Feb-20,2688,79077
Asia,,26-Feb-20,2746,79833
Asia,,27-Feb-20,2782,80819
Asia,,28-Feb-20,2834,81739
Asia,,29-Feb-20,2892,83264
Asia,,1-Mar-20,2940,84669
Asia,,2-Mar-20,2999,85997
Asia,,3-Mar-20,3049,87270
Asia,,4-Mar-20,3101,88784
Asia,,5-Mar-20,3150,90037
Asia,,6-Mar-20,3204,91394
Asia,,7-Mar-20,3251,93356
Asia,,8-Mar-20,3305,94981
Asia,,9-Mar-20,3383,96146
Asia,,10-Mar-20,3448,97058
Asia,,11-Mar-20,3534,98403
Asia,,12-Mar-20,3622,100036
Asia,,13-Mar-20,3710,101409
Asia,,14-Mar-20,3826,103230
Asia,,15-Mar-20,3937,105037
Asia,,16-Mar-20,4072,106980
Asia,,17-Mar-20,4222,108803
Asia,,18-Mar-20,4384,110748
Asia,,19-Mar-20,4551,112856
Asia,,20-Mar-20,4738,115259
Asia,,21-Mar-20,4915,117799
Asia,,22-Mar-20,5089,120778
Asia,,23-Mar-20,5276,123514
Asia,,24-Mar-20,5448,126722
Asia,,25-Mar-20,5607,130855
Asia,,26-Mar-20,5800,135470
Asia,,27-Mar-20,6041,140851
Asia,,28-Mar-20,6244,147900
Asia,,29-Mar-20,6470,155312
Asia,,30-Mar-20,6670,162410
Asia,,31-Mar-20,6889,170010
Asia,,1-Apr-20,7118,177657
Asia,,2-Apr-20,7402,186211
Asia,,3-Apr-20,7697,195087
Asia,,4-Apr-20,7847,201388
Asia,,5-Apr-20,8291,213719
Asia,,6-Apr-20,8619,223925
Asia,,7-Apr-20,8898,233291
Asia,,8-Apr-20,9214,242914
Asia,,9-Apr-20,9502,252436
Asia,,10-Apr-20,9853,262614
Asia,,11-Apr-20,10182,273663
Europe,,31-Dec-19,0,0
Europe,,1-Jan-20,0,0
Europe,,2-Jan-20,0,0
Europe,,3-Jan-20,0,0
Europe,,4-Jan-20,0,0
Europe,,5-Jan-20,0,0
Europe,,6-Jan-20,0,0
Europe,,7-Jan-20,0,0
Europe,,8-Jan-20,0,0
